date,AAPL,MSFT,GOOGL,AMZN,TSLA
2024-08-21,226.4,424.14,165.85,180.11,223.27
2024-06-18,214.29,446.34,175.09,182.81,184.86
2024-07-11,227.57,454.7,185.57,195.05,241.03
2024-06-20,209.68,445.7,176.3,186.1,181.57
2024-08-28,226.49,410.6,162.85,170.8,205.75
2024-06-21,207.49,449.78,179.63,189.08,183.01
2024-08-16,226.05,418.47,162.96,177.06,216.12
2024-05-14,187.43,416.56,170.34,187.07,177.55
2024-09-06,220.82,401.7,150.92,171.39,210.73
2024-07-03,221.55,460.77,185.82,197.59,246.39
2024-07-31,222.08,418.35,171.54,186.98,232.07
2024-09-16,216.32,431.34,158.06,184.89,226.78
2024-08-01,218.36,417.11,170.76,184.07,216.86
2024-09-04,220.85,408.9,156.45,173.33,219.41
2024-09-11,222.66,423.04,151.16,184.52,228.13
2024-08-19,225.89,421.53,166.67,178.22,222.72
2024-08-02,219.86,408.49,166.66,167.9,207.67
2024-08-09,216.24,406.02,163.67,166.94,200.0
2024-05-21,192.35,429.04,177.85,183.15,186.6
2024-07-10,232.98,466.25,191.18,199.79,263.26
2024-09-25,226.37,432.11,161.49,192.53,257.02
2024-09-05,222.38,408.39,157.24,177.89,230.17
2024-05-07,182.4,409.34,171.25,188.76,177.81
2024-07-19,224.31,437.11,177.66,183.13,239.2
2024-07-16,234.82,449.52,183.92,193.02,256.56
2024-09-13,222.5,430.59,157.46,186.49,230.29
2024-06-11,207.15,432.68,176.62,187.23,170.66
2024-05-22,190.9,430.52,176.38,183.13,180.11
2024-05-30,191.29,414.67,172.11,179.32,178.79
2024-06-25,209.07,450.95,184.03,186.34,187.35
2024-06-24,208.14,447.67,179.22,185.57,182.58
2024-05-31,192.25,415.13,172.5,176.44,178.08
2024-07-23,225.01,444.85,181.79,186.41,246.38
2024-05-09,184.57,412.32,169.96,189.5,171.97
2024-07-26,217.96,425.27,167.0,182.5,219.8
2024-07-08,227.82,466.24,189.03,199.29,252.94
2024-08-14,221.72,416.86,160.37,170.1,201.38
2024-07-22,223.96,442.94,181.67,182.55,251.51
2024-06-04,194.35,416.07,173.79,179.34,174.77
2024-05-24,189.98,430.16,174.99,180.75,179.24
2024-05-29,190.29,429.17,175.9,182.02,176.19
2024-06-03,194.03,413.52,173.17,178.34,176.29
2024-08-27,228.03,413.84,164.68,173.12,209.21
2024-07-09,228.68,459.54,188.98,199.34,262.33
2024-08-08,213.31,402.69,162.03,165.8,198.84
2024-06-17,216.67,448.37,177.24,184.06,187.44
2024-09-09,220.91,405.72,148.71,175.4,216.27
2024-08-26,227.18,413.49,166.16,175.5,213.21
2024-08-23,226.84,416.79,165.62,177.04,220.32
2024-07-29,218.24,426.73,169.53,183.2,232.1
2024-09-18,220.69,430.81,159.81,186.43,227.2
2024-09-19,228.87,438.69,162.14,189.87,243.92
2024-07-15,234.4,453.96,186.53,192.72,252.64
2024-06-28,210.62,446.95,182.15,193.25,197.88
2024-09-27,227.79,428.02,163.95,187.97,260.46
2024-09-26,227.52,431.31,162.73,191.16,254.22
2024-07-18,224.18,440.37,177.69,183.75,249.23
2024-05-17,189.87,420.21,176.06,184.7,177.46
2024-07-02,220.27,459.28,185.24,200.0,231.26
2024-06-07,196.89,423.85,174.46,184.3,177.48
2024-09-17,216.79,435.15,159.32,186.88,227.87
2024-08-20,226.51,424.8,167.18,178.88,221.1
2024-08-30,229.0,417.14,163.38,178.5,214.11
2024-09-20,228.2,435.27,163.59,191.6,238.25
2024-08-13,221.27,414.01,164.16,170.23,207.83
2024-06-10,193.12,427.87,175.01,187.06,173.79
2024-07-17,228.88,443.52,181.02,187.93,248.5
2024-06-05,195.87,424.01,175.41,181.28,175.0
2024-07-25,217.49,418.4,167.28,179.85,220.25
2024-05-28,189.99,430.32,176.4,182.15,176.75
2024-06-26,213.25,452.16,183.88,193.61,196.37
2024-08-22,224.53,415.55,163.8,176.13,210.66
2024-08-12,217.53,406.81,162.29,166.8,197.49
2024-07-30,218.8,422.92,170.29,181.71,222.62
2024-06-12,213.07,441.06,177.79,186.89,177.29
2024-07-01,216.75,456.73,182.99,197.2,209.86
2024-09-23,226.47,433.51,161.85,193.88,250.0
2024-05-10,183.05,414.74,168.65,187.48,168.47
2024-05-20,191.04,425.34,176.92,183.54,174.95
2024-05-23,186.88,427.0,173.55,181.05,173.74
2024-06-14,212.49,442.57,176.79,183.66,178.01
2024-09-10,220.11,414.2,148.66,179.55,226.17
2024-05-13,186.28,413.72,169.14,186.57,171.89
2024-09-12,222.77,427.0,154.69,187.0,229.81
2024-08-05,209.27,395.15,159.25,161.02,198.88
2024-06-06,194.48,424.52,176.73,185.0,177.94
2024-06-13,214.24,441.58,175.16,183.83,182.47
2024-08-06,207.23,399.61,158.29,161.93,200.64
2024-07-05,226.34,467.56,190.6,200.0,251.52
2024-08-07,209.82,398.43,158.94,162.77,191.76
2024-08-15,224.72,421.03,161.3,177.59,214.14
2024-07-24,218.54,428.9,172.63,180.83,215.99
2024-05-15,189.72,423.08,172.51,185.99,173.99
2024-05-16,189.84,420.99,174.18,183.63,174.84
2024-06-27,214.1,452.85,185.41,197.85,197.42
2024-05-08,182.74,410.54,169.38,188.0,174.72
2024-09-24,227.37,429.17,162.29,193.96,254.27
2024-09-03,222.77,409.44,157.36,176.25,210.6
2024-08-29,229.79,413.12,161.78,172.12,206.28
2024-07-12,230.54,453.55,185.07,194.49,248.23
